Carbon concentration / (weight%);Silicon concentration / (weight%);Manganese concentration / (weight%);Sulphur concentration / (weight%);Phosphorus concentration / (weight%);Nickel concentration / (weight%);Chromium concentration / (weight%);Molybdenum concentration / (weight%);Vanadium concentration / (weight%);Copper concentration / (weight%);Cobalt concentration / (weight%);Tungsten concentration / (weight%);Oxygen concentration / parts per million by weight;Titanium concentration / parts per million by weight;Nitrogen concentration / parts per million by weight;Aluminium concentration / parts per million by weight;Boron concentration / parts per million by weight;Niobium concentration / parts per million by weight;Tin concentration / parts per million by weight;Arsenic concentration / parts per million by weight;Antimony concentration / parts per million by weight;Current / A;Voltage / V;AC or DC;Electrode positive or negative;Heat input / kJ/mm;Interpass temperature / deg C;Type of weld ;Post weld heat treatment temperature / deg C;Post weld heat treatment time / hours;Yield strength / MPa;Ultimate tensile strength / MPa;Elongation / %;Reduction of Area / %;Charpy temperature / deg C;Charpy impact toughness / J;Hardness / kg/mm2;50 % FATT;Primary ferrite in microstructure / %;Ferrite with second phase / %;Acicular ferrite / %;Martensite / %;Ferrite with carbide aggreagate / %;Weld ID
0.045;0.29;1.83;0.005;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;76;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Dch-60
0.045;0.29;1.83;0.005;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;117;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Dch-50
0.045;0.29;1.83;0.005;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;153;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Dch-40
0.045;0.29;1.83;0.005;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;203;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Dch-20
0.045;0.29;1.83;0.005;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;222;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.045Dch20
0.058;0.33;0.63;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;386;465;33.4;78.8;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065A
0.058;0.33;0.63;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;13;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Ach-60
0.058;0.33;0.63;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;27;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Ach-50
0.058;0.33;0.63;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;78;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Ach-40
0.058;0.33;0.63;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;178;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Ach-20
0.058;0.33;0.63;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;220;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Ach20
0.065;0.34;0.97;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;418;500;35;80.6;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065B
0.065;0.34;0.97;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-70;15;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Bch-70
0.065;0.34;0.97;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;45;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Bch-60
0.065;0.34;0.97;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;100;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Bch-50
0.065;0.34;0.97;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;155;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Bch-40
0.065;0.34;0.97;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;201;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Bch-20
0.065;0.34;0.97;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;220;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Bch20
0.066;0.35;1.36;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;455;540;31.2;77.9;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065C
0.066;0.35;1.36;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-70;30;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Cch-70
0.066;0.35;1.36;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;72;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Cch-60
0.066;0.35;1.36;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;119;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Cch-50
0.066;0.35;1.36;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;165;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Cch-40
0.066;0.35;1.36;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;201;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Cch-20
0.066;0.35;1.36;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;206;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Cch20
0.074;0.36;1.8;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;504;594;26.2;75;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065D
0.074;0.36;1.8;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-70;30;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Dch-70
0.074;0.36;1.8;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;55;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Dch-60
0.074;0.36;1.8;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;89;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Dch-50
0.074;0.36;1.8;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;121;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Dch-40
0.074;0.36;1.8;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;161;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Dch-20
0.074;0.36;1.8;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;188;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.065Dch20
0.089;0.35;0.68;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;394;499;34.2;78.8;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095A
0.089;0.35;0.68;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-70;23;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Ach-70
0.089;0.35;0.68;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;27;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Ach-60
0.089;0.35;0.68;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;45;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Ach-50
0.089;0.35;0.68;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;95;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Ach-40
0.089;0.35;0.68;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;157;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Ach-20
0.089;0.35;0.68;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;220;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Ach20
0.095;0.36;1.05;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;435;546;34;77;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095B
0.095;0.36;1.05;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-70;11;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Bch-70
0.095;0.36;1.05;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;34;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Bch-60
0.095;0.36;1.05;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;74;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Bch-50
0.095;0.36;1.05;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;110;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Bch-40
0.095;0.36;1.05;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;165;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Bch-20
0.095;0.36;1.05;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;220;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Bch20
0.088;0.34;1.33;0.008;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;461;568;28.6;77.9;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095C
0.088;0.34;1.33;0.008;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-70;72;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Cch-70
0.088;0.34;1.33;0.008;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;106;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Cch-60
0.088;0.34;1.33;0.008;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;133;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Cch-50
0.088;0.34;1.33;0.008;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;155;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Cch-40
0.088;0.34;1.33;0.008;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;188;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Cch-20
0.088;0.34;1.33;0.008;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;208;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Cch20
0.089;0.33;1.69;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;490;597;30.2;75;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095D
0.089;0.33;1.69;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-70;53;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Dch-70
0.089;0.33;1.69;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;74;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Dch-60
0.089;0.33;1.69;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;95;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Dch-50
0.089;0.33;1.69;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;114;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Dch-40
0.089;0.33;1.69;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;151;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Dch-20
0.089;0.33;1.69;0.007;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;188;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.095Dch20
0.151;0.36;0.63;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;449;533;30.6;76;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145A
0.151;0.36;0.63;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;15;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Ach-60
0.151;0.36;0.63;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;34;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Ach-50
0.151;0.36;0.63;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;64;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Ach-40
0.151;0.36;0.63;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;131;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Ach-20
0.151;0.36;0.63;0.008;0.008;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;188;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Ach20
0.147;0.36;1.02;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;482;576;29.4;76.9;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145B
0.147;0.36;1.02;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-70;17;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Bch-70
0.147;0.36;1.02;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;34;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Bch-60
0.147;0.36;1.02;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;63;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Bch-50
0.147;0.36;1.02;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;98;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Bch-40
0.147;0.36;1.02;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;150;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Bch-20
0.147;0.36;1.02;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;197;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Bch20
0.147;0.35;1.38;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;513;623;27.4;72.9;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145C
0.147;0.35;1.38;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-70;38;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Cch-70
0.147;0.35;1.38;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;57;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Cch-60
0.147;0.35;1.38;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;80;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Cch-50
0.147;0.35;1.38;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;104;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Cch-40
0.147;0.35;1.38;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;150;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Cch-20
0.147;0.35;1.38;0.007;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;184;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Cch20
0.145;0.35;1.76;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;567;679;24;69.8;None;None;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145D
0.145;0.35;1.76;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-70;27;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Dch-70
0.145;0.35;1.76;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;32;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Dch-60
0.145;0.35;1.76;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-50;42;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Dch-50
0.145;0.35;1.76;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;55;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Dch-40
0.145;0.35;1.76;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-20;117;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Dch-20
0.145;0.35;1.76;0.006;0.007;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;20;160;None;None;None;None;None;None;None;Evans-StressRelief-1991-0.145Dch20
0.074;0.33;1.45;0.005;0.005;None;None;None;None;None;None;None;408;6;90;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;463;537;31.2;78.8;None;None;None;None;None;None;None;None;None;Evans-Ti/CMn-1992-P0
0.074;0.33;1.45;0.005;0.005;None;None;None;None;None;None;None;408;6;90;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-60;28;None;None;None;None;None;None;None;Evans-Ti/CMn-1992-P0ch1
0.074;0.33;1.45;0.005;0.005;None;None;None;None;None;None;None;408;6;90;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-36;100;None;None;None;None;None;None;None;Evans-Ti/CMn-1992-P0ch2
0.074;0.33;1.45;0.005;0.005;None;None;None;None;None;None;None;408;6;90;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;8;79;5;0;8;Evans-Ti/CMn-1992-P0mic
0.073;0.34;1.49;0.004;0.007;None;None;None;None;None;None;None;396;16;84;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;482;548;33.6;78.8;None;None;None;None;None;None;None;None;None;Evans-Ti/CMn-1992-P0.1
0.073;0.34;1.49;0.004;0.007;None;None;None;None;None;None;None;396;16;84;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-85;28;None;None;None;None;None;None;None;Evans-Ti/CMn-1992-P0.1ch1
